OBJECTID,HUC,WBID,DISTRICT,PLANNING_UNIT,GROUP_NUMBER,GROUP_NAME,WATERBODY_NAME,WATER_TYPE,CLASS,TARGET_PARAMETERS,BACTERIA,NUTRIENTS,METALS,BIOLOGY,FLORA,PESTICIDES,BACT_COUNT,NUTRIENTS_COUNT,METALS_COUNT,BIOLOGY_COUNT,FLORA_COUNT,PESTICIDES_COUNT,FIELD_PARAMETERS,TRACERS_COUNT,MARKERS_COUNT,TRACERS,MARKERS,SHAPEAREA,SHAPELEN
19,03080201,2472,NED,Matanzas River,Group 5,Upper East Coast,RED HOUSE BRANCH,STREAM,3F,"Flora, Microbiology",Yes,Yes,,,Yes,,5,1,0,0,1,0,Yes,0,0,,,31699146.02495,40208.3267223605
20,03100207,1633,SWD,Anclote River / Coastal Pinellas County,Group 5,Springs Coast,MCKAY CREEK (TIDAL),ESTUARY,3M,"Dissolved Oxygen, Nutrients, Pesticides",Yes,Yes,,,,Yes,5,5,0,0,0,5,Yes,0,0,,,1422114.48315,6230.21671191283
21,03110206,3519,NED,Santa Fe River,Group 1,Suwannee,ICHETUCKNEE RIVER,STREAM,3F,Pesticides,Yes,,,,,Yes,12,0,0,0,0,5,Yes,0,0,,,183831065.836538,85630.5086495379
22,03130011,512,NWD,Apalachicola River,Group 2,Apalachicola - Chipola,WILSON MILL CREEK,STREAM,3F,Microbiology,Yes,,,,,,5,0,0,0,0,0,Yes,0,0,,,18725405.75135,28919.625874911
23,03110101,3699A,NED,Waccasassa River,Group 1,Suwannee,WACCASASSA RIVER,ESTUARY,3M,"Metals, Microbiology",Yes,Yes,Yes,,,,6,5,7,0,0,0,Yes,5,5,Yes,Yes,7220447.0344875,13185.375051574
24,03130004,60A,NWD,Chattahoochee River/Lake Seminole,Group 2,Apalachicola - Chipola,CHATTAHOOCHEE RIVER,STREAM,3F,"Biology, Flora",Yes,,,Yes,Yes,,4,0,0,1,1,0,Yes,0,0,,,98622799.9725875,93474.6052540204
25,03100101,1497E,SWD,Upper Peace River,Group 3,Sarasota Bay - Peace - Myakka,LAKE BONNY,LAKE,3F,Biology,,Yes,,Yes,,,0,1,0,1,0,0,Yes,0,0,,,1086398.1917125,9515.53565491307
26,03140103,331,NWD,Yellow River,Group 4,Pensacola,WILLIAMS BRANCH,STREAM,3F,Biology,Yes,,,Yes,Yes,,1,0,0,1,1,0,Yes,0,0,,,5983585.6980375,11285.5940108448
27,03140103,336,NWD,Yellow River,Group 4,Pensacola,WILKINSON CREEK,STREAM,3F,"Biology, Flora",Yes,,,Yes,Yes,,1,0,0,1,1,0,Yes,3,0,Yes,,9458802.5598,16697.9967349556
28,03140103,30B,NWD,Yellow River,Group 4,Pensacola,YELLOW RIVER,STREAM,3F,"Flora, Nutrients",Yes,Yes,Yes,,Yes,,1,6,6,0,1,0,Yes,2,0,Yes,,134503366.635,93256.9379957269
29,03100103,3240A3,SD,Pine Island,Group 2,Charlotte Harbor,HORSESHOE HERMOSA CANALS,STREAM,3F,Flora,,Yes,,,Yes,,0,2,0,0,2,0,Yes,0,0,,,70085119.6396125,41242.9817589577
30,03100208,1503,SWD,Upper Withlacoochee,Group 4,Withlacoochee,LAKE VAN,LAKE,3F,Nutrients,Yes,Yes,,,,,5,5,0,0,0,0,Yes,0,0,,,2444465.067125,6841.53120572479
31,03110102,3573B,NED,Steinhatchee,Group 1,Suwannee,STEINHATCHEE RIVER,STREAM,3F,Biology,,,,Yes,Yes,,0,0,0,1,1,0,Yes,0,0,,,112708767.57655,87942.3827171317
32,03110101,3731Z,NED,Waccasassa River,Group 1,Suwannee,WEKIVA SPRING (LEVY COUNTY),SPRING,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,72598.9334,956.36225081543
33,03090101,3168Z4,CD,Upper Kissimmee,Group 4,Kissimmee River,LAKE GILES,LAKE,3F,Biology,,Yes,,Yes,,,0,3,0,1,0,0,Yes,0,0,,,110648.50355,1258.82944853427
34,03090101,3168Y1,CD,Upper Kissimmee,Group 4,Kissimmee River,LAKE EMERALD,LAKE,3F,"Biology, Nutrients",Yes,Yes,,Yes,,,5,2,0,1,0,0,Yes,0,0,,,9028.7003875,425.446453754048
35,03090101,3168X7,CD,Upper Kissimmee,Group 4,Kissimmee River,LAKE FARRAR,LAKE,3F,Biology,Yes,Yes,,Yes,,,5,1,0,1,0,0,Yes,0,0,,,34009.19355,726.96797736331
36,03090101,3168Z1,CD,Upper Kissimmee,Group 4,Kissimmee River,LAKE LUCERNE (WEST),LAKE,3F,"Biology, Nutrients",,Yes,,Yes,,,0,3,0,1,0,0,Yes,0,0,,,41613.42475,784.559632645141
37,03090101,3168X5,CD,Upper Kissimmee,Group 4,Kissimmee River,LAKE CONDEL,LAKE,3F,"Biology, Metals, Nutrients",,Yes,Yes,Yes,,,0,5,5,1,0,0,Yes,6,0,Yes,,13464.5409875,442.696746822162
38,03090101,1758,SD,Lake Istokpoga,Group 4,Kissimmee River,LAKE DAMON,LAKE,3F,Nutrients,Yes,Yes,Yes,,,,5,5,5,0,0,0,Yes,0,0,,,1087629.55855,3817.42633715028
39,03100204,1678,SWD,Alafia River,Group 2,Tampa Bay Tributaries,CHITO BRANCH,STREAM,3F,"Biology, Dissolved Oxygen, Nutrients",Yes,Yes,,Yes,Yes,,1,5,0,1,1,0,Yes,0,0,,,13148318.3398375,18103.8287091496
40,03100208,1329L,SWD,Upper Withlacoochee,Group 4,Withlacoochee,TANK LAKE,LAKE,3F,Biology,,Yes,,Yes,,,0,1,0,1,0,0,Yes,0,0,,,120873.4776625,1705.15666396813
41,03100102,2043,SD,Lower Myakka River,Group 3,Sarasota Bay - Peace - Myakka,APOLLO WATERWAY,ESTUARY,3M,Nutrients,Yes,Yes,,,,,3,10,0,0,0,0,Yes,0,0,,,11724697.7653125,16290.8477427871
42,03100102,2045,SD,Lower Myakka River,Group 3,Sarasota Bay - Peace - Myakka,ROCK CREEK,ESTUARY,3M,"Metals, Microbiology, Nutrients",Yes,Yes,Yes,,,,5,10,5,0,0,0,Yes,5,0,Yes,,4611666.0372125,10190.3545225216
43,03100204,1597A,SWD,Alafia River,Group 2,Tampa Bay Tributaries,SCOTT LAKE,LAKE,3F,Biology,Yes,Yes,Yes,Yes,,,2,1,1,1,0,0,Yes,0,0,,,1154528.43615,5203.88816415841
44,03100204,1592C,SWD,Alafia River,Group 2,Tampa Bay Tributaries,MUSTANG RANCH CREEK,STREAM,3F,Biology,Yes,,,,,,5,0,0,1,1,0,Yes,0,0,,,8755949.9993875,16985.073359978
45,03100208,1347B,CD,Lake Panasoffkee,Group 4,Withlacoochee,HIDDEN LAKE,LAKE,3F,"Biology, Dissolved Oxygen, Nutrients",,Yes,,Yes,,,0,5,0,1,0,0,Yes,0,0,,,24489.0796875,714.329678759522
46,03100207,1329Y,SWD,Upper Withlacoochee,Group 4,Withlacoochee,MOUNTAIN LAKE,LAKE,3F,"Biology, Nutrients",,Yes,,Yes,,,0,5,0,1,0,0,Yes,0,0,,,513811.4478875,4570.12893112142
47,03090205,3240W,SD,Caloosahatchee Estuary,Group 3,Caloosahatchee,CARRELL CANAL,STREAM,3F,"Biology, Dissolved Oxygen",Yes,Yes,,Yes,Yes,,1,1,0,1,1,0,Yes,0,0,,,5171105.809925,10314.0594827181
48,03080201,2363H,NED,Matanzas River,Group 5,Upper East Coast,ST AUGUSTINE INLET,ESTUARY,3M,Nutrients,Yes,Yes,,,,,5,5,0,0,0,0,Yes,0,0,,,4956492.917525,11240.8735702602
49,03110103,3419A,NWD,Aucilla River,Group 1,Suwannee,WELAUNEE CREEK,STREAM,3F,"Biology, Nutrients",Yes,Yes,,Yes,Yes,,1,5,0,1,1,0,Yes,0,0,,,62798656.56495,53256.6720012703
50,03110206,3626,NED,Santa Fe River,Group 1,Suwannee,PARENERS BRANCH,STREAM,3F,"Biology, Flora",Yes,,,Yes,Yes,,6,0,0,1,1,0,Yes,0,0,,,14771956.1482875,26246.3734676314
51,03110206,3605Z,NED,Santa Fe River,Group 1,Suwannee,TRAIL SPRINGS,SPRING,3F,Pesticides,,Yes,Yes,,,Yes,0,5,5,0,0,5,Yes,0,0,,,538968.43735,2612.1818692405
52,03080101,2986,CD,Lake Jesup,Group 2,Middle St. Johns,SOLDIER CREEK,STREAM,3F,"Biology, Microbiology, Pesticides",Yes,,,,,Yes,5,0,0,1,1,6,Yes,0,0,,,47213548.4784375,57506.9127706931
53,03080102,2873,CD,Lake Apopka,Group 1,Ocklawaha,JOHNS LAKE OUTLET,STREAM,3F,"Dissolved Oxygen, Flora, Nutrients",Yes,Yes,,,Yes,,5,6,0,0,1,0,Yes,0,0,,,26136623.7682485,81804.2597508371
54,03090101,1938B,SD,Lake Placid,Group 4,Kissimmee River,PLACID-JUNE CANAL (CATFISH CREEK),STREAM,3F,Dissolved Oxygen,Yes,Yes,,,,,6,4,0,0,0,0,Yes,0,0,,,15386757.88355,19130.6255594164
55,03090204,3278E,SD,Southwest Coast,Group 1,Everglades West Coast,COW SLOUGH,STREAM,3F,"Biology, Dissolved Oxygen, Microbiology, Pesticides",Yes,,,,,Yes,4,0,0,1,1,5,Yes,5,5,Yes,Yes,47325811.0752875,38362.69134577
56,03110102,3518,NED,Fenholloway,Group 1,Suwannee,SPRING CREEK,STREAM,3F,Pesticides,Yes,,,,,Yes,1,0,0,0,0,6,Yes,0,0,,,65004825.2211125,69237.8682985924
57,03110206,3520,NED,Santa Fe River,Group 1,Suwannee,CANNON CREEK,STREAM,3F,"Biology, Microbiology, Pesticides",Yes,,,Yes,Yes,Yes,5,0,0,1,1,10,Yes,0,0,,,15886463.3475125,25098.8528892735
58,03080102,2817A,CD,Lake Griffin,Group 1,Ocklawaha,HAYNES CREEK (LOWER SEGMENT),STREAM,3F,"Biology, Dissolved Oxygen, Flora",Yes,Yes,,Yes,Yes,,1,1,0,1,1,0,Yes,0,0,,,8221639.502775,15412.5629498333
59,03110206,3605J,NED,Santa Fe River,Group 1,Suwannee,TWIN SPRING,SPRING,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,2,0,Yes,,10381.595767335,362.519400127428
60,03080102,2719A,NED,Orange Creek,Group 1,Ocklawaha,LAKE ALICE,LAKE,3F,Biology,Yes,Yes,,Yes,,Yes,10,1,0,1,0,1,Yes,1,0,Yes,,115335.8201,2205.69695350168
61,03130012,569,NWD,Chipola River,Group 2,Apalachicola - Chipola,TENMILE CREEK,STREAM,3F,"Biology, Metals, Microbiology",Yes,Yes,Yes,Yes,Yes,,11,5,5,1,1,0,Yes,0,0,,,92207823.238075,88927.7719532345
62,03100201,1953,SD,Sarasota Bay,Group 3,Sarasota Bay - Peace - Myakka,HUDSON BAYOU TIDAL,ESTUARY,3M,Dissolved Oxygen,Yes,Yes,,,,,5,5,0,0,0,0,Yes,5,0,Yes,,2029661.0615,6344.9157152405
63,03100101,1939,SD,Middle Peace River,Group 3,Sarasota Bay - Peace - Myakka,BRANDY BRANCH,STREAM,3F,"Microbiology, Nutrients, Pesticides",Yes,Yes,,,,Yes,5,5,0,0,0,5,Yes,0,1,,Yes,42269758.624975,38611.4297126811
64,03070204,2339,NED,Upper St. Marys River,Group 4,Nassau - St. Marys,OCEAN POND,LAKE,3F,"Metals, Nutrients",Yes,Yes,Yes,,,,10,5,5,0,0,0,Yes,0,0,,,7298387.2208125,10189.3755713573
65,03100201,2015,SD,Sarasota Bay,Group 3,Sarasota Bay - Peace - Myakka,HATCHETT CREEK (TIDAL),ESTUARY,3M,Microbiology,Yes,,,,,,5,0,0,0,0,0,Yes,0,0,,,2431785.053475,7999.41043915551
66,03100201,2015A,SD,Sarasota Bay,Group 3,Sarasota Bay - Peace - Myakka,HATCHETT CREEK,STREAM,3F,"Biology, Dissolved Oxygen, Pesticides",Yes,,,Yes,Yes,Yes,1,0,0,1,1,1,Yes,0,0,,,13688376.181875,17727.7204655606
67,03100101,1617A,SWD,Upper Peace River,Group 3,Sarasota Bay - Peace - Myakka,LAKE EFFIE,LAKE,3F,Biology,,Yes,,Yes,,,0,1,0,1,0,0,Yes,0,0,,,413516.3629875,4048.83222942745
68,03100101,1623B,SD,Middle Peace River,Group 3,Sarasota Bay - Peace - Myakka,PEACE RIVER ABOVE HORSE CREEK,STREAM,3F,"Biology, Flora, Nutrients, Pesticides",,Yes,Yes,Yes,Yes,Yes,0,5,1,1,1,6,Yes,0,0,,,69574385.6594875,44258.8987867632
69,03090205,3240C1,SD,Caloosahatchee Estuary,Group 3,Caloosahatchee,PALM CREEK,STREAM,3F,Microbiology,Yes,,,,,,1,0,0,0,0,0,Yes,6,6,Yes,Yes,10453763.556075,15029.9508193906
70,03090205,3235E,SD,West Caloosahatchee,Group 3,Caloosahatchee,BEE BRANCH,STREAM,3F,"Biology, Dissolved Oxygen, Nutrients",Yes,Yes,,Yes,Yes,,1,10,0,1,2,0,Yes,0,0,,,88258459.38665,66337.5742875951
71,03100206,1579,SWD,Coastal Hillsborough Bay Tributary,Group 1,Tampa Bay,BELLOWS LAKE (EAST LAKE) OUTLET,STREAM,3F,"Nutrients, Pesticides",Yes,Yes,,,,Yes,1,11,0,0,0,6,Yes,0,0,,,4720441.3013875,16778.3195145041
72,03100101,1580,SWD,Upper Peace River,Group 3,Sarasota Bay - Peace - Myakka,WAHNETA FARMS DRAINAGE CANAL,STREAM,3F,Flora,,Yes,Yes,,Yes,,0,2,2,0,2,0,Yes,0,0,,,16675480.1136625,24901.092168065
73,03080101,3004O,CD,Wekiva River,Group 2,Middle St. Johns,ASHER LAKE,LAKE,3F,Nutrients,,Yes,,,,,0,4,0,0,0,0,Yes,0,0,,,21216.25455,518.965691643981
74,03100207,1361,SWD,Chassahowitzka,Group 5,Springs Coast,CHASSAHOWITZKA RIVER,ESTUARY,2,Microbiology,Yes,,,,,,5,0,0,0,0,0,Yes,0,0,,,226515956.46855,117938.150244867
75,03080102,2774,CD,Marshall Swamp,Group 1,Ocklawaha,HALF MILE CREEK,STREAM,3F,Biology,Yes,,,Yes,Yes,,1,0,0,1,1,0,Yes,0,0,,,36398901.169075,34217.6344053581
76,03120003,811,NWD,North Ochlockonee River,Group 1,Ochlockonee - St. Marks,OCKLAWAHA CREEK,STREAM,3F,Biology,Yes,,,Yes,Yes,,5,0,0,1,1,0,Yes,0,0,,,29299942.3319875,71700.8499320656
77,03100207,1512,SWD,Anclote River / Coastal Pinellas County,Group 5,Springs Coast,HEALTH SPRING DRAIN / BOGGY BAYOU,ESTUARY,3M,Nutrients,Yes,Yes,,,,,4,10,0,0,0,0,Yes,0,0,,,2631417.6243625,11379.6480433138
78,03080101,2998E,CD,Wekiva River,Group 2,Middle St. Johns,LAKE ADELAIDE,LAKE,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,85852.3584625,1290.14099181168
79,03080101,3042,CD,Tosohatchee,Group 3,Upper St. Johns,JIM CREEK,STREAM,3F,Microbiology,Yes,,,,,,5,0,0,0,0,0,Yes,0,0,,,109927519.851775,81326.7041266457
80,03090102,3205A1,SED,TOL Complex,Group 1,Lake Okeechobee,TAYLOR CREEK (UPPER SEGMENT),STREAM,3F,"Biology, Nutrients",Yes,Yes,,Yes,Yes,,1,10,0,1,1,0,Yes,4,0,Yes,,223082380.539525,93157.4192216761
81,03090101,3168X9,CD,Upper Kissimmee,Group 4,Kissimmee River,LAKE JANE (ORANGE COUNTY),LAKE,3F,"Biology, Nutrients",,Yes,,Yes,,,0,5,0,1,0,0,Yes,0,0,,,14420.67415,444.513647106436
82,03090101,3168W,CD,Upper Kissimmee,Group 4,Kissimmee River,BEAR HEAD LAKE,LAKE,3F,"Biology, Nutrients",,Yes,,Yes,,,0,2,0,1,0,0,Yes,0,0,,,62944.5590125,897.777323550982
83,03090101,3168Y6,CD,Upper Kissimmee,Group 4,Kissimmee River,LAKE LURNA,LAKE,3F,Biology,,Yes,,Yes,,,0,1,0,1,0,0,Yes,0,0,,,30024.3583,672.551704727111
84,03090101,3168Y7,CD,Upper Kissimmee,Group 4,Kissimmee River,LAKE THERESA,LAKE,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,4204.9341375,255.416365963701
85,03090101,3168W4,CD,Upper Kissimmee,Group 4,Kissimmee River,LAKE OF THE WOODS,LAKE,3F,"Biology, Nutrients",,Yes,,Yes,,,0,2,0,1,0,0,Yes,0,0,,,17081.4854125,580.705250191746
86,03090101,3168X3,CD,Upper Kissimmee,Group 4,Kissimmee River,LAKE TERRACE,LAKE,3F,Biology,,Yes,,Yes,,,0,2,0,1,0,0,Yes,0,0,,,11319.4045,385.904310518187
87,03090101,3168X2,CD,Upper Kissimmee,Group 4,Kissimmee River,HOURGLASS LAKE,LAKE,3F,"Biology, Nutrients",,Yes,,Yes,,,0,5,0,1,0,0,Yes,0,0,,,55965.931975,1175.19674793349
88,03100101,1844,SWD,Middle Peace River,Group 3,Sarasota Bay - Peace - Myakka,THOMPSON BRANCH,STREAM,3F,"Biology, Flora",Yes,,,Yes,Yes,,5,0,0,1,1,0,Yes,0,0,,,16819941.4271,22490.9495858673
89,03090101,1842B,SD,Lake Istokpoga,Group 4,Kissimmee River,LAKE DENTON,LAKE,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,267369.666775,1869.02557544321
90,03100101,1623A,SD,Lower Peace River,Group 3,Sarasota Bay - Peace - Myakka,PEACE RIVER ABOVE THORNTON BRANCH,STREAM,3F,Biology,Yes,,,Yes,Yes,,6,0,0,1,1,0,Yes,0,0,,,23565580.735475,24907.9670223597
91,03100102,1933,SWD,Upper Myakka River,Group 3,Sarasota Bay - Peace - Myakka,OWEN CREEK,STREAM,3F,"Biology, Dissolved Oxygen, Nutrients, Pesticides",Yes,Yes,,Yes,Yes,Yes,1,12,0,1,2,6,Yes,0,0,,,49756127.30555,58199.2340267453
92,03100101,1934,SWD,Middle Peace River,Group 3,Sarasota Bay - Peace - Myakka,OSBORN BRANCH,STREAM,3F,"Dissolved Oxygen, Microbiology",,Yes,,,,,0,5,0,0,0,0,Yes,0,1,,Yes,6863646.033925,12302.574036752
93,03100102,1935,SWD,Upper Myakka River,Group 3,Sarasota Bay - Peace - Myakka,MAPLE CREEK,STREAM,3F,"Biology, Flora",Yes,,,,,,6,0,0,1,1,0,Yes,0,0,,,11539374.3185875,16826.5916653465
94,03100101,1497A,SWD,Upper Peace River,Group 3,Sarasota Bay - Peace - Myakka,CRYSTAL LAKE,LAKE,3F,Biology,,Yes,,Yes,,,0,4,0,1,0,0,Yes,0,0,,,108141.7334625,1354.31046385455
95,03080103,2265C,NED,North Mainstem,Group 2,Lower St. Johns,POTTSBURG CREEK (FRESHWATER SEGMENT),STREAM,3F,Pesticides,Yes,,,,,Yes,1,0,0,0,0,5,Yes,0,0,,,16402698.1876125,25517.7904499035
96,03130011,375F,NWD,Apalachicola River,Group 2,Apalachicola - Chipola,APALACHICOLA RIVER,STREAM,3F,Nutrients,Yes,Yes,Yes,,,,5,5,5,0,0,0,Yes,3,0,Yes,,158228937.779675,129880.984876664
97,03080103,2592,NED,South Mainstem,Group 2,Lower St. Johns,MILL BRANCH,STREAM,3F,"Flora, Metals, Microbiology, Nutrients, Pesticides",Yes,Yes,Yes,,Yes,Yes,5,5,10,0,1,10,Yes,5,0,Yes,,22405636.9031588,22869.0994879472
98,03110206,3598C,NED,Santa Fe River,Group 1,Suwannee,ALLIGATOR CREEK,STREAM,3F,"Biology, Microbiology",Yes,,,Yes,Yes,,5,0,0,1,1,0,Yes,0,0,,,43024133.7884875,43149.6495656708
99,03100208,1340K,SWD,Tsalo Apopka,Group 4,Withlacoochee,CATO LAKE,LAKE,3F,"Biology, Dissolved Oxygen, Nutrients",,Yes,,Yes,,,0,5,0,1,0,0,Yes,0,0,,,412657.691475,3947.03400688935
100,03100207,1439,SWD,Middle Coastal,Group 5,Springs Coast,SALT SPRINGS (PASCO),SPRING,3M,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,3162620.000975,12121.7883521341
101,03130013,1251,NWD,New River,Group 2,Apalachicola - Chipola,CROOKED RIVER,STREAM,3F,Flora,Yes,Yes,,,Yes,,5,1,0,0,1,0,Yes,0,0,,,62256321.1514,47209.9088292912
102,03080103,2381,NED,Julington Creek,Group 2,Lower St. Johns,CORMORANT BRANCH,STREAM,3F,Microbiology,Yes,,,,,,5,0,0,0,0,0,Yes,1,1,Yes,Yes,5938158.6474625,16683.2238003856
103,03100207,1618C,SWD,Anclote River / Coastal Pinellas County,Group 5,Springs Coast,LONG BAYOU/CROSS BAYOU,ESTUARY,3M,Microbiology,Yes,,,,,,4,0,0,0,0,0,Yes,0,0,,,4623557.0658875,12227.9523769489
104,03110102,3556,NED,Other Coastal,Group 1,Suwannee,WEAVER WARRIOR CREEK,STREAM,3F,"Microbiology, Nutrients",Yes,Yes,,,,,5,6,0,0,0,0,Yes,0,0,,,67417490.3297625,46744.4481364897
105,03100101,1997,SD,Middle Peace River,Group 3,Sarasota Bay - Peace - Myakka,HAWTHORNE CREEK,STREAM,3F,"Metals, Microbiology, Nutrients",Yes,Yes,Yes,,,,2,5,5,0,0,0,Yes,0,0,,,71291278.47105,57130.388373488
106,03080103,2322,NED,Ortega River,Group 2,Lower St. Johns,BUTCHER PEN CREEK,STREAM,3F,"Flora, Dissolved Oxygen, Metals, Nutrients",Yes,Yes,Yes,,Yes,,5,7,6,0,2,0,Yes,0,0,,,3425181.02615,9757.90643642863
107,03100101,1539,SWD,Upper Peace River,Group 3,Sarasota Bay - Peace - Myakka,PEACE CREEK DRAINAGE CANAL,STREAM,3F,"Biology, Flora",,,,Yes,Yes,,0,0,0,1,1,0,Yes,5,5,Yes,Yes,139313799.19022,154985.150436635
108,03100101,1488E,SWD,Upper Peace River,Group 3,Sarasota Bay - Peace - Myakka,LAKE IDA (WINTER HAVEN),LAKE,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,69830.8436875,957.602168299167
109,03130011,1240,NWD,Apalachicola River,Group 2,Apalachicola - Chipola,FORT GADSDEN CREEK,STREAM,3F,"Biology, Dissolved Oxygen, Metals, Nutrients",Yes,Yes,Yes,Yes,Yes,,11,5,5,1,1,0,Yes,5,0,Yes,,67849483.1986125,55894.972083814
110,03100208,1349A,CD,Lake Panasoffkee,Group 4,Withlacoochee,LAKE DEATON,LAKE,3F,Nutrients,,Yes,,,,,0,5,0,0,0,0,Yes,0,0,,,2146038.800025,6905.05927823224
111,03100202,1807B,SWD,Manatee River,Group 2,Tampa Bay Tributaries,LAKE MANATEE RESERVOIR,LAKE,1,Biology,,Yes,,Yes,,,0,2,0,2,0,0,Yes,0,0,,,30829487.4234125,45358.5570244353
112,03100101,1622D,SWD,Upper Peace River,Group 3,Sarasota Bay - Peace - Myakka,LAKE GARFIELD DRAIN,STREAM,3F,Nutrients,Yes,Yes,Yes,,,,1,2,2,0,0,0,Yes,2,0,Yes,,42773235.54435,45387.2136162414
